0,000	-0,006
0,099	-0,025
0,199	0,025
0,299	0,009
0,399	0,034
0,500	0,042
0,600	0,050
0,700	0,078
0,800	0,052
0,900	0,048
1,000	0,053
1,100	0,032
1,200	0,023
1,299	0,010
1,399	0,024
1,499	0,020
1,599	0,014
1,700	0,017
1,800	0,016
1,900	0,006
2,000	0,013
2,100	0,003
2,200	-0,018
2,300	-0,007
2,400	-0,005
2,499	-0,004
2,599	-0,015
2,699	0,016
2,799	0,022
2,900	0,037
3,000	0,029
3,100	0,020
3,200	0,022
3,300	0,023
3,400	0,025
3,500	0,011
3,600	0,004
3,699	0,017
3,799	-0,003
3,899	-0,010
3,999	-0,018
4,100	-0,009
4,200	-0,015
4,300	-0,004
4,400	-0,008
4,500	-0,001
4,600	-0,010
4,700	-0,022
4,800	0,008
4,899	0,020
4,999	0,000
5,099	0,002
5,199	0,006
5,299	-0,014
5,400	-0,007
5,500	-0,009
5,600	0,012
5,700	0,008
5,800	-0,027
5,900	-0,018
6,000	-0,019
6,099	-0,015
6,199	0,001
6,299	-0,005
6,399	-0,018
6,499	0,005
6,600	-0,002
6,700	0,014
6,800	0,009
6,900	-0,010
7,000	-0,036
7,100	-0,066
7,200	-0,123
7,300	-0,200
7,399	-0,283
7,499	-0,366
7,599	-0,427
7,699	-0,573
7,800	-0,809
7,900	-1,024
8,000	-1,058
8,100	-0,654
8,200	0,163
8,300	1,335
8,400	2,381
8,500	3,125
8,599	3,163
8,699	2,559
8,799	1,558
8,899	0,540
9,000	-0,303
9,100	-0,856
9,200	-1,174
9,300	-1,276
9,400	-1,294
9,500	-1,181
9,600	-0,992
9,700	-0,699
9,799	-0,386
9,899	-0,205
9,999	-0,187
10,099	-0,264
10,200	-0,377
10,300	-0,407
10,400	-0,378
10,500	-0,229
10,600	-0,060
10,700	0,040
10,800	0,106
10,900	0,147
10,999	0,148
11,099	0,163
11,199	0,134
11,299	0,144
11,400	0,113
11,500	0,155
11,600	0,153
11,700	0,095
11,800	-0,022
11,900	-0,166
12,000	-0,271
12,100	-0,232
12,199	-0,083
12,299	0,077
12,399	0,204
12,499	0,246
12,600	0,207
12,700	0,146
12,800	0,131
12,900	0,164
13,000	0,171
13,100	0,213
13,200	0,200
13,300	0,171
13,399	0,143
13,499	0,086
13,599	0,045
13,699	-0,016
13,800	-0,064
13,900	-0,072
14,000	-0,091
14,100	-0,057
14,200	-0,035
14,300	0,011
14,400	0,044
14,500	0,064
14,599	0,050
14,699	0,041
14,799	-0,006
14,899	-0,024
15,000	-0,032
15,100	-0,013
15,200	-0,000
15,300	0,007
15,400	-0,020
15,500	-0,067
15,600	-0,105
15,700	-0,123
15,799	-0,126
15,899	-0,075
15,999	-0,057
16,099	-0,047
16,200	-0,014
16,300	-0,034
16,400	-0,036
16,500	-0,043
16,600	-0,049
16,700	-0,082
16,800	-0,081
16,900	-0,058
16,999	-0,042
17,099	0,026
17,199	0,068
17,299	0,049
17,400	0,002
17,500	-0,053
17,600	-0,116
17,700	-0,136
17,800	-0,092
17,900	-0,045
18,000	0,040
18,100	0,091
18,199	0,126
18,299	0,099
18,399	0,066
18,499	0,052
18,600	0,002
18,700	-0,001
18,800	-0,002
18,900	0,013
19,000	0,010
19,100	0,021
19,200	0,007
19,300	-0,020
19,399	-0,030
19,499	-0,064
19,599	-0,052
19,699	-0,026
19,800	0,006
19,900	0,049
20,000	0,097
20,100	0,134
20,200	0,076
20,300	0,035
20,400	-0,064
20,500	-0,147
20,599	-0,135
20,699	-0,108
20,799	-0,020
20,899	0,029
21,000	0,012
21,100	-0,071
21,200	-0,123
21,300	-0,157
21,400	-0,142
21,500	-0,136
21,600	-0,075
21,700	-0,034
21,799	0,010
21,899	0,019
21,999	0,002
22,099	-0,038
22,200	-0,067
22,300	-0,075
22,400	-0,068
22,500	-0,014
22,600	0,033
22,700	0,028
22,800	-0,036
22,900	-0,105
22,999	-0,138
23,099	-0,150
23,199	-0,144
23,299	-0,091
23,400	-0,002
23,500	0,089
23,600	0,156
23,700	0,178
23,800	0,112
23,900	0,030
24,000	-0,040
24,100	-0,042
24,199	-0,008
24,299	0,062
24,399	0,102
24,499	0,081
24,600	0,016
24,700	-0,070
24,800	-0,131
24,900	-0,098
25,000	-0,032
25,100	0,056
25,200	0,136
25,300	0,165
25,399	0,148
25,499	0,070
25,599	0,021
25,699	-0,042
